"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"//SERIOUS TIPS";;;;;;;;;;;;;;;;;;;;
"loading/help_consoleTip";;;;;;;;;;;;;;;;;;;"let it be empty";
"loading/tip1";"Zoom in to get a better view of your target.";"N'oubliez pas de visiter l’encyclopédie, elle contient de nombreuses informations intéressantes.";"Usa lo Zoom per vedere meglio il bersaglio.";"Zoome heran, um einen besseren Blick auf dein Ziel werfen zu können.";"Haz zoom para ver mejor a tu objetivo.";"Вы можете использовать приближение, чтобы лучше видеть цель.";"Ви можете використовувати наближення, щоби краще бачити ціль.";"Pamiętaj, aby często zaglądać do Encyklopedii. Zawiera ona wiele przydatnych informacji.";"Faça zoom in para ver melhor o seu alvo.";"Hedefinizi daha iyi görebilmek için yakınlaştırmayı kullanın.";"Přibliž si pohled, abys lépe viděl cíl.";"Κάντε ζουμ για να δείτε καλύτερα τον στόχο σας.";"Perbesar untuk mendapatkan tampilan yang lebih baik dari target.";"ซูมเข้าเพื่อให้เห็นเป้าหมายได้ชัดเจนยิ่งขึ้น";"확대 기능을 사용하면 목표물을 더 잘 볼 수 있습니다.";"放\t大\t视\t角\t以\t便\t更\t好\t地\t观\t察\t目\t标。";"ズームインして\t標的をよく\t確認しよう。";"拉\t近\t視\t角\t以\t便\t更\t好\t的\t觀\t察\t目\t標.";;
"loading/tip2";"Use smoke to hide from the enemy if you need to retreat or repair.";"Utilisez la fumée pour vous cacher de l'ennemi au bon moment.";"Usa i fumogeni per nasconderti dal nemico se devi ritirarti o riparare.";"Benutze Rauch, um Dich zur richtigen Zeit vor dem Feind zu verstecken.";"Utiliza el humo para ocultarte del enemigo si necesitas retirarte o reparar.";"Используйте дымы, чтобы в нужный момент скрыться от глаз противника.";"Використовуйте дим, щоби сховатися від ворога для відступу або ремонту.";"Użyj zasłony dymnej, aby ukryć się przed wrogiem, jeśli musisz się wycofać lub naprawić.";"Use fumaça para se esconder do inimigo se precisar de retiarar ou reparar.";"Düşmandan gizlenmek için sis'i doğru zamanda kullanının.";"Pomocí kouře se ve správný čas ukryj před nepřítelem.";"Χρησιμοποιήστε καπνό για να κρυφτείτε από τον εχθρό αν χρειαστεί να υποχωρήσετε ή να κάνετε επισκευές.";"Gunakan asap untuk bersembunyi dari musuh jika kamu perlu mundur atau melakukan perbaikan.";"ใช้ควันเพื่อซ่อนตัวจากข้าศึกหากคุณต้องการล่าถอยหรือซ่อมแซม";"수리 또는 후퇴해야 할 타이밍에 연막을 사용하면 적으로부터 은폐할 수 있습니다.";"在\t适\t当\t的\t时\t机\t施\t放\t烟\t幕\t往\t往\t能\t够\t成\t功\t逃\t脱\t敌\t方\t追\t击。";"退却または\t修理する\t必要がある\t場合、\t煙幕を\t使って\t敵から\t隠れよう。";"在\t適\t當\t的\t時\t機\t施\t放\t煙\t幕\t往\t往\t能\t夠\t成\t功\t逃\t脫\t敵\t方\t追\t擊。";;
"loading/tip3";"Avoid shooting at the same spot multiple times - this part of the vehicle may no longer have any active modules or crew.";"Il est préférable de ne pas tirer toujours au même endroit - cette partie du char ou du navire peut ne plus avoir de modules ni d'équipage.";"Evita di sparare più volte allo stesso punto - questa parte del mezzo potrebbe non avere più moduli attivi o equipaggio.";"Es ist besser, nicht auf dieselbe Stelle zu schießen – dieser Teil des Panzers oder Schiffes hat möglicherweise keine Module und keine Mannschaft mehr.";"Evita disparar varias veces al mismo lugar - es posible que esta parte del vehículo ya no tenga módulos ni tripulación activos.";"Лучше не стрелять в одно и то же место - в той части танка или корабля может уже не быть целых модулей и экипажа.";"Не стріляйте багаторазово в одне й те саме місце — у цій частині техніки може вже не бути активних модулів і екіпажу.";"Lepiej nie strzelać w to samo miejsce - ta część czołgu lub okrętu może nie mieć już żadnych modułów i załogi.";"Evite disparar no mesmo sítio muitas vezes vezes - esta parte do veículo pode já não ter módulos ativos nem tripulantes.";"Sürekli aynı yere ateş etmek pek iyi değildir, tankın veya geminin o bölgesinde herhangi bir modül ya da mürettebat kalmamış olabilir.";"Je lepší nestřílet na stejné místo - tato část tanku nebo lodi již nemusí mít žádné moduly a osádku.";"Αποφύγετε να πυροβολείτε πολλές φορές στο ίδιο σημείο - αυτό το τμήμα του οχήματος μπορεί να μην έχει πλέον ενεργές μονάδες ή πλήρωμα.";"Hindari menembak di titik yang sama beberapa kali - bagian kendaraan ini mungkin sudah tidak punya modul atau kru yang aktif.";"หลีกเลี่ยงการยิงใส่จุดเดียวกันหลายครั้ง - ส่วนดังกล่าวของพาหนะอาจไม่มีกำลังพลหรือโมดูลที่ยังทำงานเหลืออยู่";"모듈이나 승무원이 남아있지 않을 수 있으니, 같은 부위에는 2번 이상 사격하지 않는 편이 좋습니다.";"不\t建\t议\t对\t目\t标\t的\t同\t一\t部\t位\t反\t复\t进\t行\t轰\t击：\t对\t应\t部\t位\t的\t模\t块\t与\t乘\t员\t可\t能\t已\t经\t损\t毁\t殆\t尽。";"同じ\t場所を\t何度も\t撃たないほうがいい。\t車両のこの\t部分には、\tすでに\tアクティブな\tモジュールもなければ、\tクルーもいないかもしれない。";"不\t建\t議\t對\t目\t標\t的\t同\t一\t部\t位\t反\t復\t進\t行\t轟\t擊：\t對\t應\t部\t位\t的\t模\t塊\t與\t乘\t員\t可\t能\t已\t經\t損\t毀\t殆\t盡。";;
"loading/tip4";"Levelling up the campaign will give you access to new vehicles, while levelling up your vehicles gives you upgrade points and access to new modifications.";"Le niveau de campagne donne accès à de nouveaux véhicules, le niveau de véhicule donne des points d'amélioration et l'accès à de nouvelles modifications";"Aumentando i livelli della campagna ti consentirà l'accesso a nuovi mezzi, mentre livellare i tuoi mezzi ti dà punti aggiornamento ed accesso a nuove modifiche.";"Kampagnenstufe gewährt Zugriff auf neue Fahrzeuge, Fahrzeugrang bringt Verbesserungspunkte und Zugriff auf neue Modifikationen";"Subir de nivel en la campaña te dará acceso a nuevos vehículos, mientras que subir de nivel tus vehículos te dará puntos de mejora y acceso a nuevas modificaciones.";"Уровень кампании открывает доступ к новой технике, уровень техники открывает доступ к новым модификациям и дает очки улучшений.";"Підвищення рівня кампанії дає доступ до нової техніки, а підвищення рівня техніки — очки покращень і доступ до нових модифікацій.";"Poziom kampanii daje dostęp do nowych pojazdów, poziom pojazdu daje punkty ulepszeń i dostęp do nowych modyfikacji";"Subir o nível de campanha dá acesso a novos veículos; subir o nível do veículo dá pontos de melhoria e acesso a novas modificações.";"Harekat seviyesi yeni araçlara erişim sağlar, araç seviyesi ise yeni güncelleme puanları verir ve yeni modifikasyonlara ulaşmanızı sağlar.";"Úroveň kampaně poskytuje přístup k novým vozidlům, úroveň vozidla poskytuje body vylepšení a přístup k novým modifikacím";"Αν κάνετε level up την εκστρατεία, θα αποκτήσετε πρόσβαση σε νέα οχήματα, ενώ αν κάνετε level up τα οχήματά σας, θα πάρετε πόντους αναβάθμισης και πρόσβαση σε νέες τροποποιήσεις.";"Kenaikan level kampanye akan memberimu akses ke kendaraan baru, sedangkan kenaikan level kendaraanmu akan memberimu poin upgrade dan akses ke modifikasi baru.";"การเพิ่มเลเวลแคมเปญจะช่วยให้คุณสามารถใช้งานพาหนะใหม่ๆ ส่วนการเพิ่มเลเวลพาหนะจะให้คะแนนอัปเกรดและการเข้าถึงการดัดแปลงใหม่ๆ";"캠페인 레벨을 올리면 새로운 장비를 이용할 수 있으며 장비 레벨을 올릴 경우 새로운 부품을 이용할 수 있습니다";"提\t升\t对\t应\t的\t军\t种\t等\t级\t即\t可\t解\t锁\t新\t的\t载\t具\t队\t列，\t提\t升\t不\t同\t载\t具\t的\t等\t级\t可\t获\t得\t升\t级\t点\t数、\t解\t锁\t新\t的\t改\t装\t件。";"キャンペーンを\tレベルアップさせると\t新しい\t車両に\tアクセスでき、\t車両を\tレベルアップさせると\tアップグレードポイントが\t手に\t入り、\t新しい\t改造に\tアクセスできる。";"提\t升\t海\t陸\t空\t三\t軍\t的\t兵\t種\t等\t級\t即\t可\t解\t鎖\t新\t的\t載\t具，\t提\t升\t隊\t列\t等\t級\t可\t獲\t得\t升\t級\t點\t數，\t達\t到\t要\t求\t即\t可\t解\t鎖\t新\t的\t改\t裝\t項\t目。";;
"loading/tip5";"Choose different modifications for your vehicle in the arsenal menu to suit your playstyle.";"Choisissez les modifications de votre véhicule dans le menu Arsenal pour l'adapter à votre style de jeu.";"Scegli varie modifiche per il tuo mezzo nel menù dell'arsenale per adattarlo al tuo stile di gioco.";"Wähle im Arsenal-Menü Modifikationen für Dein Fahrzeug, um es an Deinen Spielstil anzupassen.";"Elige diferentes modificaciones para tu vehículo en el menú del arsenal para adaptarlo a tu estilo de juego.";"Выбирайте модификации для вашей техники в меню арсенала и адаптируйте её под свой стиль игры.";"Вибирайте різноманітні модифікації для техніки в меню арсеналу, щоб адаптувати її до вашого стилю гри.";"Wybierz modyfikacje dla swojego pojazdu w menu arsenału, aby dostosować go do swojego stylu gry.";"Escolha modificações diferentes para o seu veículo no menu de arsenal para o adaptar ao seu estilo de jogo.";"Cephanelik menüsünden aracınız için doğru modifikasyonlar seçerek, aracınızı oynanışınıza uygun hale getirin.";"V nabídce výzbroje si můžeš vybrat modifikace svého stroje a přizpůsobit ho tak svému hernímu stylu.";"Επιλέξτε διαφορετικές τροποποιήσεις για το όχημά σας από το μενού Οπλοστάσιο, ώστε να ταιριάζουν με το στιλ παιχνιδιού σας.";"Pilih modifikasi yang berbeda untuk kendaraanmu dalam menu persenjataan agar sesuai dengan gaya bermainmu.";"เลือกการดัดแปลงต่างๆ สำหรับพาหนะในเมนูสรรพาวุธให้เข้ากับสไตล์การเล่นของคุณ";"무장 메뉴에서 나만의 플레이스타일에 맞는 부품을 선택할 수 있습니다.";"在\t军\t械\t库\t界\t面\t为\t队\t列\t中\t的\t载\t具\t搭\t配\t改\t装\t件，\t适\t配\t您\t的\t玩\t法\t策\t略。";"武器庫\tメニューから\t車両の\t異なる\t改造を\t選び、\tプレイスタイルに\t合わせて\t適用しよう。";"在\t兵\t工\t廠\t界\t面\t為\t隊\t列\t中\t的\t載\t具\t搭\t配\t不\t同\t的\t改\t裝\t項\t目，\t適\t配\t您\t的\t玩\t法\t策\t略。";;
"loading/tip6";"If the game is running slowly or your phone gets too hot, you can reduce the graphics quality in the options menu.";"Si le jeu tourne lentement ou si le téléphone chauffe trop, vous pouvez réduire la qualité graphique dans les paramètres.";"Se il gioco viene riprodotto lentamente o il tuo telefono diventa troppo caldo, puoi abbassare la qualità della grafica nel menu delle impostazioni.";"Wenn das Spiel langsam läuft oder das Telefon zu heiß wird, kannst Du die Grafikqualität in den Einstellungen verringern.";"Si el juego funciona lentamente o tu teléfono se calienta demasiado, puedes reducir la calidad de los gráficos en el menú de opciones.";"Если игра медленно работает или телефон греется слишком сильно, вы можете уменьшить качество графики в настройках.";"Якщо гра працює повільно або ваш телефон перегрівається, спробуйте понизити якість графіки в налаштуваннях.";"Jeśli gra działa wolno lub telefon zbytnio się nagrzewa, można obniżyć jakość grafiki w ustawieniach.";"Se o jogo estiver lento ou o dispositivo móvel aquecer demasiado, pode reduzir a qualidade dos gráficos no menu de opções.";"Eğer oyun yavaş çalışıyor ya da telefonunuz çok fazla ısınıyorsa, ayarlardan grafik kalitesini düşürebilirsiniz.";"Pokud hra běží pomalu nebo se telefon příliš zahřívá, můžeš v nastavení snížit kvalitu grafiky.";"Εάν το παιχνίδι είναι αργό ή το τηλέφωνό σας ζεσταθεί πολύ, μπορείτε να μειώσετε την ποιότητα των γραφικών από το μενού Επιλογές.";"Jika game berjalan dengan lambat atau ponselmu menjadi terlalu panas, kamu bisa mengurangi kualitas grafis di menu opsi.";"หากเกมทำงานช้าหรืออุปกรณ์มือถือของคุณร้อนเกินไป คุณสามารถลดคุณภาพกราฟิกได้ในเมนูตัวเลือก";"게임이 느려지거나 휴대폰이 너무 뜨거울 경우, 설정 창에서 그래픽 품질을 낮추는 것을 권장합니다.";"可\t在\t设\t置\t选\t项\t中\t降\t低\t画\t面\t质\t量，\t缓\t解\t游\t戏\t运\t行\t缓\t慢\t与\t设\t备\t发\t热\t问\t题。";"ゲームの\t動作が\t遅かったり、\tスマートフォンが\t熱くなりすぎたりする\t場合は、\tオプションメニューから\tグラフィック\t品質を\t下げることができる。";"可\t在\t設\t置\t選\t項\t中\t降\t低\t畫\t面\t品\t質，\t緩\t解\t遊\t戲\t運\t行\t緩\t慢\t與\t設\t備\t發\t熱\t問\t題。";;
"loading/tip7";"You can invite a friend to play with you in a squad - fight together and get bonus rewards!";"Vous pouvez inviter un ami dans une escouade. Jouez ensemble et obtenez des récompenses bonus.";"Puoi invitare un amico in plotone - combattete assieme ed ottenere ricompense bonus!";"Du kannst einen Freund in eine Staffel einladen. Spiele zusammen und erhalte Bonusbelohnungen.";"¡Puedes invitar a un amigo a jugar contigo en un escuadrón - luchad juntos y conseguid recompensas extra!";"Можно пригласить друга в отряд. Играйте вместе и получайте дополнительные бонусы к награде.";"Ви можете запросити друга до ланки. Грайте разом і отримуйте бонусні нагороди!";"Możesz zaprosić znajomego do oddziału - walczcie razem i zdobywajcie dodatkowe nagrody!";"Pode convidar um amigo para jogar consigo num pelotão - voem juntos e recebam bónus!";"Bir takımda oynamak için arkadaşınızı davet edebilirsiniz. Birlikte oynayın ve bonus ödüller kazanın!";"Můžeš pozvat kamaráda do skupiny. Hrajte společně a získejte bonusové odměny.";"Μπορείτε να προσκαλέσετε έναν φίλο να παίξει μαζί σας σε μια ομάδα - πολεμήστε μαζί και λάβετε ανταμοιβές μπόνους!";"Kamu bisa mengundang teman untuk bermain bersama dalam skuad - bertarung bersama dan dapatkan bonus imbalan!";"คุณสามารถชวนเพื่อนมาเล่นกับคุณในหมู่เดียวกันได้ - ต่อสู้ร่วมกันแล้วรับรางวัลโบนัส!";"친구를 편대에 초대할 수 있습니다. 함께 플레이할 경우 추가 보상을 받을 수 있습니다.";"邀\t请\t好\t友\t加\t入\t小\t队\t并\t肩\t作\t战，\t赢\t取\t额\t外\t收\t益\t奖\t励。";"フレンドを\t分隊に\t招待して\t一緒に\tプレイすることができる。\t一緒に\t戦って、\tボーナス\t報酬を\t受け\t取ろう！";"邀\t請\t好\t友\t加\t入\t小\t隊\t並\t肩\t作\t戰，\t贏\t取\t額\t外\t收\t益\t獎\t勵。";;
"loading/tip8";"You can change the position of the control buttons in the options menu.";"Dans les paramètres, vous pouvez modifier l'emplacement des boutons de commande.";"Puoi cambiare la disposizione dei tasti di controllo nel menu delle opzioni.";"In den Einstellungen kannst Du die Position der Steuerungs-Schaltflächen anpassen.";"Puedes cambiar la posición de los botones de control en el menú de opciones.";"В настройках можно изменить расположение кнопок управления.";"Ви можете змінити розташування кнопок керування в меню налаштувань.";"W ustawieniach można zmienić miejsce przycisków sterowania.";"Pode mudar a posição dos botões dos controles no menu de opções.";"Ayar menüsünden kontrol tuşlarının yerini değiştirebilirsiniz.";"V nastavení můžeš změnit umístění ovládacích tlačítek.";"Μπορείτε να αλλάξετε τη θέση των κουμπιών ελέγχου από το μενού Επιλογές.";"Kamu bisa mengganti posisi tombol kontrol di menu opsi.";"คุณสามารถเปลี่ยนตำแหน่งปุ่มควบคุมได้ที่เมนูตัวเลือก";"설정 메뉴에서는 조작 버튼의 위치도 바꿀 수 있습니다.";"可\t在\t设\t置\t选\t项\t中\t调\t整\t各\t按\t键\t的\t位\t置。";"オプションメニューから、\t操作\tボタンの\t位置を\t変更することができる。";"可\t在\t設\t置\t選\t項\t中\t調\t整\t各\t按\t鍵\t的\t位\t置。";;
