"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"help/mainTurrets";"MAIN CALIBRE TURRETS";"TOURELLES PRINCIPALES";"TORRETTE CALIBRI PRINCIPALI";"HAUPTGESCHÜTZTÜRME";"TORRETAS DE CALIBRE PRINCIPAL";"БАШНИ ГЛАВНОГО КАЛИБРА";"БАШТИ ГОЛОВНОГО КАЛІБРУ";"WIEŻE GŁÓWNEGO KALIBRU";"TORRES DE CALIBRE PRINCIPAIS";"TEMEL KALİBRE TARETLER";"VĚŽE HLAVNÍ RÁŽE";"ΠΥΡΓΙΣΚΟΙ ΚΥΡΙΟΥ ΔΙΑΜΕΤΡΗΜΑΤΟΣ";"TURRET KALIBER UTAMA";"ป้อมปืนหลัก";"주 포탑";"主\t炮\t塔";"主砲塔";"主\t炮\t塔";;
"help/bottomCompartments";"HULL BELOW WATERLINE";"COQUE SOUS LA LIGNE DE FLOTTAISON";"SCAFO SOTTO IL PELO DELL'ACQUA";"RUMPF UNTERHALB DER WASSERLINIE";"CASCO POR DEBAJO DE LA LÍNEA DE FLOTACIÓN";"КОРПУС НИЖЕ ВАТЕРЛИНИИ";"КОРПУС НИЖЧЕ ВАТЕРЛІНІЇ";"KADŁUB PONIŻEJ LINII WODY";"CASCO ABAIXO DA LINHA DE ÁGUA";"SU YÜZEYİNİN ALTINDAKİ GÖVDE";"TRUP POD ČAROU PONORU";"ΚΥΤΟΣ ΚΑΤΩ ΑΠΟ ΤΟ ΕΠΙΠΕΔΟ ΤΟΥ ΝΕΡΟΥ";"LAMBUNG DI BAWAH GARIS AIR";"ตัวเรือใต้ระดับน้ำ";"선체가 흘수선 아래에 있습니다";"船\t体\t水\t下\t部\t分";"船体喫水線下";"船\t體\t水\t下\t部\t分";;
"help/funnels";"FUNNELS";"CHEMINÉES";"FUMAIOLI";"SCHORNSTEINE";"EMBUDOS";"ДЫМОВЫЕ ТРУБЫ";"ДИМОВІ ТРУБИ";"KOMINY";"CHAMINÉS";"GEMİ BACALARI";"KOMÍNY";"ΦΟΥΓΑΡΑ";"CEROBONG";"ปล่อง";"연돌";"烟\t囱";"煙突";"煙\t囪";;
"help/bowSuperstructure";"Bridge";"Pont";"Ponte";"Brücke";"Puente";"Мостик";"Місток";"Mostek";"Ponte";"Köprü";"Můstek";"Γέφυρα";"Anjungan";"สะพานเรือ";"함교";"舰\t桥";"船橋";"艦\t橋";;
"help/ship/engines";"Engine Rooms";"Salle des machines";"Sale motori";"Maschinenräume";"Sala de Máquinas";"Котельные отделения";"Котельні відділення";"Maszynownia";"Casa das Máquinas";"Makine Daireleri";"Strojovny";"Μηχανοστάσια";"Ruang Mesin";"ห้องเครื่องยนต์";"엔진실";"轮\t机\t舱";"エンジン\t室";"輪\t機\t艙";;
"help/ship/torpedo_tubes";"Torpedo Tubes";"Tubes Lance-torpilles";"Tubi Lanciasiluri";"Torpedorohre";"Tubos de Torpedo";"Торпедные аппараты";"Торпедні апарати";"Wyrzutnie torpedowe";"Tubos de Lança-torpedos";"Torpidolar Tüpleri";"Torpédomety";"Τορπιλοσωλήνες";"Tabung Torpedo";"ท่อยิงตอร์ปิโด";"어뢰 발사관";"鱼\t雷\t发\t射\t管";"魚雷管";"魚\t雷\t發\t射\t管";;
"help/ship/ammo_storage";"Ammunition Storage";"Stockage de munitions";"Stiva Munizioni";"Munitionsbunker";"Almacenamiento de Municiones";"Погреб боезапаса";"Погріб боєзапасу";"Magazyn amunicji";"Paiol";"Mühimmat Deposu";"Muniční sklad";"Αποθήκευση πυρομαχικών";"Penyimpanan Amunisi";"ที่เก็บกระสุน";"탄약고";"弹\t药\t库";"弾薬貯蔵庫";"彈\t藥\t庫";;
"help/ship/auxTurrets";"Auxiliary calibre turrets";"Tourelles auxiliaires";"Torrette calibri ausiliari";"Sekundärgeschütztürme";"Torretas de calibre auxiliar";"Башни вспомогательного калибра";"Башти допоміжного калібру";"Wieże artylerii pomocniczej";"Torres de calibre auxiliar";"Tali kalibreli taretler";"Věže pomocné ráže";"Πυργίσκοι βοηθητικού διαμετρήματος";"Turret kaliber tambahan";"ป้อมปืนเสริม";"부포탑";"副\t炮\t炮\t塔";"副砲塔";"副\t炮\t炮\t塔";;
"help/loss_of_control";"Loss of Control";"Perte de Contrôle";"Perdita di Controllo";"Verlust der Kontrolle";"Pérdida de Control";"Потеря управления";"Втрата керування";"Utrata kontroli";"Perda de Controle";"Kontrol Kaybı";"Ztráta ovládání";"Απώλεια ελέγχου";"Kehilangan Kendali";"สูญเสียการควบคุม";"제어 불가";"失\t去\t控\t制";"制御不能";"失\t去\t控\t制";;
"help/extra_damage";"Extra Damage";"Dégâts Supplémentaires";"Danni Extra";"Extraschaden";"Daño Extra";"Дополнительный урон";"Додаткові пошкодження";"Dodatkowe uszkodzenia";"Dano Extra";"Ekstra Hasar";"Extra poškození";"Πρόσθετες ζημιές";"Damage Ekstra";"ความเสียหายเพิ่มเติม";"추가 피해";"额\t外\t伤\t害";"追加\tダメージ";"額\t外\t傷\t害";;
