"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"event_quest_tanks_air_survived_1";"Professional Air Support ★★★";"Professionnel du soutien aérien ★★★";"Supporto Aereo Professionale ★★★";"Professionelle Luftunterstützung ★★★";"Apoyo Aéreo Profesional ★★★";"Профессиональная воздушная поддержка ★★★";"Професіонал повітряної підтримки ★★★";"Profesjonalne wsparcie lotnicze ★★★";"Apoio Aéreo Profissional ★★★";"Profesyonel Hava Desteği ★★★";"Profesionální vzdušná podpora ★★★";"Επαγγελματική αεροπορική υποστήριξη ★★★";"Professional Air Support ★★★";"การสนับสนุนทางอากาศแบบมืออาชีพ ★★★";"공중 지원의 대가 ★★★";"专\t业\t空\t中\t支\t援 ★\t★\t★";"プロフェッショナル\t航空支援 ★★★";"專\t職\t對\t地 ★\t★\t★";;
"event_quest_tanks_air_survived_1/desc";"Finish air combat in tank battles without losing your aircraft";"Terminez le combat aérien dans les batailles de chars sans perdre votre avion";"Termina un combattimento aereo nelle battaglie tra carri senza perdere il tuo";"Beende Luftkämpfe in Panzerschlachten, ohne dein Flugzeug zu verlieren";"Acaba un combate aéreo en batallas de tanques sin perder tu avión";"Завершить воздушные бои в танковом бою не потеряв самолет";"Завершіть повітряний бій у танковій битві, не втративши літак";"Ukończ walkę powietrzną w bitwach pancernych bez utraty samolotu";"Termine o combate aéreo sem perder sua aeronave em batalhas de tanques";"Tank savaşlarında uçağınızı kaybetmeden hava savaşını bitirin";"Dokonči letecký boj v tankových bitvách bez ztráty vlastního letadla";"Ολοκληρώστε την αερομαχία στις μάχες με τανκς χωρίς να χάσετε το αεροσκάφος σας";"Selesaikan pertarungan udara dalam pertempuran tank tanpa kehilangan pesawatmu.";"จบการต่อสู้ทางอากาศในศึกรถถังโดยไม่เสียอากาศยานของคุณเลย";"전차전에서 항공기를 보전한 채로 공중전을 마치십시오.";"在\t陆\t战\t模\t式\t下\t完\t成\t空\t袭\t事\t件\t并\t顺\t利\t存\t活";"戦車戦において、\t航空機を\t失うことなく\t空中戦を\t終える";"在\t陸\t戰\t模\t式\t下\t完\t成\t空\t襲\t事\t件，\t戰\t機\t順\t利\t存\t活\t未\t受\t損\t失";;
"event_quest_tanks_air_survived_2";"Professional Air Support ★★";"Professionnel du soutien aérien ★★";"Supporto Aereo Professionale ★★";"Professionelle Luftunterstützung ★★";"Apoyo Aéreo Profesional ★★";"Профессиональная воздушная поддержка ★★";"Професіонал повітряної підтримки ★★";"Profesjonalne wsparcie lotnicze ★★";"Apoio Aéreo Profissional ★★";"Profesyonel Hava Desteği ★★";"Profesionální vzdušná podpora ★★";"Επαγγελματική αεροπορική υποστήριξη ★★";"Professional Air Support ★★";"การสนับสนุนทางอากาศแบบมืออาชีพ ★★";"공중 지원의 대가 ★★";"专\t业\t空\t中\t支\t援 ★\t★";"プロフェッショナル\t航空支援 ★★";"專\t職\t對\t地 ★\t★";;
"event_quest_tanks_air_survived_2/desc";"Finish air combat in tank battles without losing your aircraft";"Terminez le combat aérien dans les batailles de chars sans perdre votre avion";"Termina un combattimento aereo nelle battaglie tra carri senza perdere il tuo";"Beende Luftkämpfe in Panzerschlachten, ohne dein Flugzeug zu verlieren";"Acaba un combate aéreo en batallas de tanques sin perder tu avión";"Завершить воздушные бои в танковом бою не потеряв самолет";"Завершіть повітряний бій у танковій битві, не втративши літак";"Ukończ walkę powietrzną w bitwach pancernych bez utraty samolotu";"Terminar combate aéreo em batalhas de tanques sem perder a aeronave";"Tank savaşlarında uçağınızı kaybetmeden hava savaşını bitirin";"Dokonči letecký boj v tankových bitvách bez ztráty vlastního letadla";"Ολοκληρώστε την αερομαχία στις μάχες με τανκς χωρίς να χάσετε το αεροσκάφος σας";"Selesaikan pertarungan udara dalam pertempuran tank tanpa kehilangan pesawatmu";"จบการต่อสู้ทางอากาศในศึกรถถังโดยไม่เสียอากาศยานของคุณเลย";"전차전에서 항공기를 보전한 채로 공중전을 마치십시오.";"在\t陆\t战\t模\t式\t下\t完\t成\t空\t袭\t事\t件\t并\t顺\t利\t存\t活";"戦車戦において、\t航空機を\t失うことなく\t空中戦を\t終える";"在\t陸\t戰\t模\t式\t下\t完\t成\t空\t襲\t事\t件，\t戰\t機\t順\t利\t存\t活\t未\t受\t損\t失";;
"event_quest_tanks_air_survived_3";"Professional Air Support ★";"Professionnel du soutien aérien ★";"Supporto Aereo Professionale ★";"Professionelle Luftunterstützung ★";"Apoyo Aéreo Profesional ★";"Профессиональная воздушная поддержка ★";"Професіонал повітряної підтримки ★";"Profesjonalne wsparcie lotnicze ★";"Apoio Aéreo Profissional ★";"Profesyonel Hava Desteği ★";"Profesionální vzdušná podpora ★";"Επαγγελματική αεροπορική υποστήριξη ★";"Professional Air Support ★";"การสนับสนุนทางอากาศแบบมืออาชีพ ★";"공중 지원의 대가 ★";"专\t业\t空\t中\t支\t援 ★";"プロフェッショナル\t航空支援 ★";"專\t職\t對\t地 ★";;
"event_quest_tanks_air_survived_3/desc";"Finish air combat in tank battles without losing your aircraft";"Terminez le combat aérien dans les batailles de chars sans perdre votre avion";"Termina un combattimento aereo nelle battaglie tra carri senza perdere il tuo";"Beende Luftkämpfe in Panzerschlachten, ohne dein Flugzeug zu verlieren";"Acaba un combate aéreo en batallas de tanques sin perder tu avión";"Завершить воздушные бои в танковом бою не потеряв самолет";"Завершіть повітряний бій у танковій битві, не втративши літак";"Ukończ walkę powietrzną w bitwach pancernych bez utraty samolotu";"Terminar combate aéreo em batalhas de tanques sem perder a aeronave";"Tank savaşlarında uçağınızı kaybetmeden hava savaşını bitirin";"Dokonči letecký boj v tankových bitvách bez ztráty vlastního letadla";"Ολοκληρώστε την αερομαχία στις μάχες με τανκς χωρίς να χάσετε το αεροσκάφος σας";"Selesaikan pertarungan udara dalam pertempuran tank tanpa kehilangan pesawatmu";"จบการต่อสู้ทางอากาศในศึกรถถังโดยไม่เสียอากาศยานของคุณเลย";"전차전에서 항공기를 보전한 채로 공중전을 마치십시오.";"在\t陆\t战\t模\t式\t下\t完\t成\t空\t袭\t事\t件\t并\t顺\t利\t存\t活";"戦車戦において、\t航空機を\t失うことなく\t空中戦を\t終える";"在\t陸\t戰\t模\t式\t下\t完\t成\t空\t襲\t事\t件，\t戰\t機\t順\t利\t存\t活\t未\t受\t損\t失";;
"event_quest_tanks_avenge_1";"Return Fire ★★★";"Retour de flammes ★★★";"Fuoco di Risposta ★★★";"Feuer erwidern ★★★";"Disparo de Regreso ★★★";"Ответный огонь ★★★";"Вогонь у відповідь ★★★";"Odpowiedz Ogniem ★★★";"Retaliação ★★★";"Karşı Ateş ★★★";"Opětování palby ★★★";"Ανταπόδοση πυρών ★★★";"Return Fire ★★★";"ยิงโต้กลับ ★★★";"복수자 ★★★";"以\t血\t洗\t血 ★\t★\t★";"応戦 ★★★";"後\t發\t制\t人 ★\t★\t★";;
"event_quest_tanks_avenge_1/desc";"Destroy the enemy that performed the most recent allied vehicle destruction in the same tank battle";"Détruisez le véhicule ennemi qui a détruit un véhicule allié le plus récemment dans la même bataille de chars";"Distruggi il nemico che ha distrutto l'ultimo alleato nella stessa battaglia tra carri";"Zerstöre den Gegner, der zuletzt ein verbündetes Fahrzeug in derselben Panzerschlacht zerstört hat";"Destruye al enemigo que haya realizado la destrucción de un vehículo aliado más recientemente en la misma batalla de tanques";"Уничтожить противника, который последним уничтожил технику союзника в том же танковом бою";"Знищте ворога, який раніше в тій самій танковій битві останнім знищив союзну техніку";"Zniszcz wroga, który dokonał ostatniego zniszczenia maszyny sojusznika w tej samej bitwie pancernej";"Destrua o inimigo que efetuou a destruição de veículos aliados mais recente na mesma batalha de tanques";"Aynı tank savaşında en son müttefik araç imhasını gerçekleştiren düşmanı yok edin";"Znič nepřítele, který naposledy zničil stroj spoluhráče v jedné tankové bitvě.";"Καταστρέψτε το όχημα του εχθρού που κατέστρεψε το συμμαχικό σας όχημα στην ίδια μάχη με τανκς";"Hancurkan musuh yang melakukan penghancuran kendaraan sekutu baru-baru ini dalam pertempuran tank yang sama";"ทำลายพาหนะศัตรูที่ทำลายพาหนะของพันธมิตรในศึกรถถังเดียวกัน";"동일한 전차전에서 가장 최근에 아군의 장비를 격파한 적을 격파하십시오.";"在\t同\t一\t场\t陆\t战\t战\t斗\t中，\t击\t毁\t最\t近\t摧\t毁\t过\t友\t方\t单\t位\t的\t敌\t方\t载\t具";"同じ\t戦車戦で、\t直近に\t味方車両を\t撃破した\t敵を\t撃破する";"在\t同\t場\t陸\t戰\t戰\t鬥\t中\t摧\t毀\t最\t近\t一\t次\t擊\t毀\t友\t軍\t載\t具\t的\t敵\t人，\t為\t隊\t友\t完\t成\t復\t仇";;
"event_quest_tanks_avenge_2";"Return Fire ★★";"Retour de flammes ★★";"Fuoco di Risposta ★★";"Feuer erwidern ★★";"Disparo de Regreso ★★";"Ответный огонь ★★";"Вогонь у відповідь ★★";"Odpowiedz Ogniem ★★";"Retaliação ★★";"Karşı Ateş ★★";"Opětování palby ★★";"Ανταπόδοση πυρών ★★";"Return Fire ★★";"ยิงโต้กลับ ★★";"복수자 ★★";" 以\t血\t洗\t血 ★\t★";"応戦 ★★";"後\t發\t制\t人 ★\t★";;
"event_quest_tanks_avenge_2/desc";"Destroy the enemy that performed the most recent allied vehicle destruction in the same tank battle";"Détruisez le véhicule ennemi qui a détruit un véhicule allié le plus récemment dans la même bataille de chars";"Distruggi il nemico che ha distrutto l'ultimo alleato nella stessa battaglia tra carri";"Zerstöre den Gegner, der zuletzt ein verbündetes Fahrzeug in derselben Panzerschlacht zerstört hat";"Destruye al enemigo que haya realizado la destrucción de un vehículo aliado más recientemente en la misma batalla de tanques";"Уничтожить противника, который последним уничтожил технику союзника в том же танковом бою";"Знищте ворога, який раніше в тій самій танковій битві останнім знищив союзну техніку";"Zniszcz wroga, który dokonał ostatniego zniszczenia maszyny sojusznika w tej samej bitwie pancernej";"Destrua o inimigo que efetuou a destruição de veículos aliados mais recente na mesma batalha de tanques";"Aynı tank savaşında en son müttefik araç imhasını gerçekleştiren düşmanı yok edin";"Znič nepřítele, který naposledy zničil stroj spoluhráče v jedné tankové bitvě.";"Καταστρέψτε το όχημα του εχθρού που κατέστρεψε το συμμαχικό σας όχημα στην ίδια μάχη με τανκς";"Hancurkan musuh yang melakukan penghancuran kendaraan sekutu baru-baru ini dalam pertempuran tank yang sama";"ทำลายพาหนะศัตรูที่ทำลายพาหนะของพันธมิตรในศึกรถถังเดียวกัน";"동일한 전차전에서 가장 최근에 아군의 장비를 격파한 적을 격파하십시오.";"在\t同\t一\t场\t陆\t战\t战\t斗\t中，\t击\t毁\t最\t近\t摧\t毁\t过\t友\t方\t单\t位\t的\t敌\t方\t载\t具";"同じ\t戦車戦で、\t直近に\t味方車両を\t撃破した\t敵を\t撃破する";"在\t同\t場\t陸\t戰\t戰\t鬥\t中\t摧\t毀\t最\t近\t一\t次\t擊\t毀\t友\t軍\t載\t具\t的\t敵\t人，\t為\t隊\t友\t完\t成\t復\t仇";;
"event_quest_tanks_avenge_3";"Return Fire ★";"Retour de flammes ★";"Fuoco di Risposta ★";"Feuer erwidern ★";"Disparo de Regreso ★";"Ответный огонь ★";"Вогонь у відповідь ★";"Odpowiedz Ogniem ★";"Retaliação ★";"Karşı Ateş ★";"Opětování palby ★";"Ανταπόδοση πυρών ★";"Return Fire ★";"ยิงโต้กลับ ★";"복수자 ★";"以\t血\t洗\t血 ★";"応戦 ★";"後\t發\t制\t人 ★";;
"event_quest_tanks_avenge_3/desc";"Destroy the enemy that performed the most recent allied vehicle destruction in the same tank battle";"Détruisez le véhicule ennemi qui a détruit un véhicule allié le plus récemment dans la même bataille de chars";"Distruggi il nemico che ha distrutto l'ultimo alleato nella stessa battaglia tra carri";"Zerstöre den Gegner, der zuletzt ein verbündetes Fahrzeug in derselben Panzerschlacht zerstört hat";"Destruye al enemigo que haya realizado la destrucción de un vehículo aliado más recientemente en la misma batalla de tanques";"Уничтожить противника, который последним уничтожил технику союзника в том же танковом бою";"Знищте ворога, який раніше в тій самій танковій битві останнім знищив союзну техніку";"Zniszcz wroga, który dokonał ostatniego zniszczenia maszyny sojusznika w tej samej bitwie pancernej";"Destrua o inimigo que efetuou a destruição de veículos aliados mais recente na mesma batalha de tanques";"Aynı tank savaşında en son müttefik araç imhasını gerçekleştiren düşmanı yok edin";"Znič nepřítele, který naposledy zničil stroj spoluhráče v jedné tankové bitvě.";"Καταστρέψτε το όχημα του εχθρού που κατέστρεψε το συμμαχικό σας όχημα στην ίδια μάχη με τανκς";"Hancurkan musuh yang melakukan penghancuran kendaraan sekutu baru-baru ini dalam pertempuran tank yang sama";"ทำลายพาหนะศัตรูที่ทำลายพาหนะของพันธมิตรในศึกรถถังเดียวกัน";"동일한 전차전에서 가장 최근에 아군의 장비를 격파한 적을 격파하십시오.";"在\t同\t一\t场\t陆\t战\t战\t斗\t中，\t击\t毁\t最\t近\t摧\t毁\t过\t友\t方\t单\t位\t的\t敌\t方\t载\t具";"同じ\t戦車戦で、\t直近に\t味方車両を\t撃破した\t敵を\t撃破する";"在\t同\t場\t陸\t戰\t戰\t鬥\t中\t摧\t毀\t最\t近\t一\t次\t擊\t毀\t友\t軍\t載\t具\t的\t敵\t人，\t為\t隊\t友\t完\t成\t復\t仇";;
"event_quest_tanks_battle_end_1";"Tank Combat Reconnaissance ★★★";"Reconnaissance blindée au combat ★★★";"Carro da Ricognizione ★★★";"Panzer-Kampfaufklärung ★★★";"Reconocimiento de Combate de Tanque ★★★";"Разведка танковым боем ★★★";"Танкова розвідка боєм ★★★";"Naziemny Zwiad Bojowy ★★★";"Reconhecimento de Combate de Tanques ★★★";"Tank Muharebesi Keşfi ★★★";"Průzkum bojem ★★★";"Αναγνωριστική αποστολή μάχης με τανκς ★★★";"Tank Combat Reconnaissance ★★★";"สอดแนมการรบศึกรถถัง ★★★";"전차전 수색 ★★★";"陆\t战\t侦\t察\t尖\t兵 ★\t★\t★";"戦車戦偵察 ★★★";"游\t騎\t偵\t查 ★\t★\t★";;
"event_quest_tanks_battle_end_1/desc";"Finish a tank battle without deserting";"Terminez une bataille de chars sans déserter";"Termina una battaglia tra carri senza abbandonarla";"Beende eine Panzerschlacht ohne zu desertieren";"Acaba una batalla de tanques sin desertar";"Закончить танковый бой без дезертирства";"Завершіть танкову битву, не дезертируючи";"Ukończ bitwę pancerną bez dezercji";"Terminar uma batalha de tanques sem desertar";"Terk etmeden bir tank savaşı tamamlayın";"Dokončí tankovou bitvu bez dezerce";"Ολοκληρώστε μια μάχη με τανκς χωρίς να λιποτακτήσετε";"Selesaikan pertempuran tank tanpa melarikan diri";"จบศึกรถถังโดยไม่หนีทัพ";"탈주하지 않은 채로 전차전을 완료하십시오";"未\t中\t途\t退\t出\t的\t情\t况\t下\t完\t成 1 场\t陆\t战";"離脱することなく\t戦車戦を\t終えよ";"未\t中\t途\t退\t出\t的\t情\t況\t下\t完\t成 1 場\t陸\t戰";;
"event_quest_tanks_battle_end_2";"Tank Combat Reconnaissance ★★";"Reconnaissance blindée au combat ★★";"Carro da Ricognizione ★★";"Panzer-Kampfaufklärung ★★";"Reconocimiento de Combate de Tanque ★★";"Разведка танковым боем ★★";"Танкова розвідка боєм ★★";"Naziemny Zwiad Bojowy ★★";"Reconhecimento de Combate de Tanques ★★";"Tank Muharebesi Keşfi ★★";"Průzkum bojem ★★";"Αναγνωριστική αποστολή μάχης με τανκς ★★";"Tank Combat Reconnaissance ★★";"สอดแนมการรบศึกรถถัง ★★";"전차전 수색 ★★";"陆\t战\t侦\t察\t尖\t兵 ★\t★";"戦車戦偵察 ★★";"游\t騎\t偵\t查 ★\t★";;
"event_quest_tanks_battle_end_2/desc";"Finish a tank battle without deserting";"Terminez une bataille de chars sans déserter";"Termina una battaglia tra carri senza abbandonarla";"Beende eine Panzerschlacht ohne zu desertieren";"Acaba una batalla de tanques sin desertar";"Закончить танковый бой без дезертирства";"Завершіть танкову битву, не дезертируючи";"Ukończ bitwę pancerną bez dezercji";"Terminar uma batalha de tanques sem desertar";"Terk etmeden bir tank savaşı tamamlayın";"Dokončí tankovou bitvu bez dezerce";"Ολοκληρώστε μια μάχη με τανκς χωρίς να λιποτακτήσετε";"Selesaikan pertempuran tank tanpa melarikan diri";"จบศึกรถถังโดยไม่หนีทัพ";"탈주하지 않은 채로 전차전을 완료하십시오";"未\t中\t途\t退\t出\t的\t情\t况\t下\t完\t成 1 场\t陆\t战";"離脱することなく\t戦車戦を\t終えよ";"未\t中\t途\t退\t出\t的\t情\t況\t下\t完\t成 1 場\t陸\t戰";;
"event_quest_tanks_battle_end_3";"Tank Combat Reconnaissance ★";"Reconnaissance blindée au combat ★";"Carro da Ricognizione ★";"Panzer-Kampfaufklärung ★";"Reconocimiento de Combate de Tanque ★";"Разведка танковым боем ★";"Танкова розвідка боєм ★";"Naziemny Zwiad Bojowy ★";"Reconhecimento de Combate de Tanques ★";"Tank Muharebesi Keşfi ★";"Průzkum bojem ★";"Αναγνωριστική αποστολή μάχης με τανκς ★";"Tank Combat Reconnaissance ★";"สอดแนมการรบศึกรถถัง ★";"전차전 수색 ★";"陆\t战\t侦\t察\t尖\t兵 ★";"戦車戦偵察 ★";"游\t騎\t偵\t查 ★";;
"event_quest_tanks_battle_end_3/desc";"Finish a tank battle without deserting";"Terminez une bataille de chars sans déserter";"Termina una battaglia tra carri senza abbandonarla";"Beenden Sie eine Panzerschlacht, ohne zu desertieren";"Acaba una batalla de tanques sin desertar";"Закончить танковый бой без дезертирства";"Завершіть танкову битву, не дезертируючи";"Ukończ bitwę pancerną bez dezercji";"Terminar uma batalha de tanques sem desertar";"Terk etmeden bir tank savaşı tamamlayın";"Dokončí tankovou bitvu bez dezerce";"Ολοκληρώστε μια μάχη με τανκς χωρίς να λιποτακτήσετε";"Selesaikan pertempuran tank tanpa melarikan diri";"จบศึกรถถังโดยไม่หนีทัพ";"탈주하지 않은 채로 전차전을 완료하십시오";"未\t中\t途\t退\t出\t的\t情\t况\t下\t完\t成 1 场\t陆\t战";"離脱することなく\t戦車戦を\t終えよ";"未\t中\t途\t退\t出\t的\t情\t況\t下\t完\t成 1 場\t陸\t戰";;
