"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"mainmenu/btnShop";"Go to store";"Aller à la boutique";"Vai al negozio";"Zum Shop gehen";"Ir a la tienda";"В магазин";"Перейти в магазин";"Przejdź do sklepu";"Aceder à Loja";"Mağazaya git";"Do obchodu";"Μετάβαση στο κατάστημα";"Buka Toko";"ไปยังร้านค้า";"스토어로 이동";"前\t往\t商\t店";"ストアへ";"前\t往\t商\t店";;
"mainmenu/btnOptions";"Options";"Options";"Opzioni";"Einstellungen";"Opciones";"Настройки";"Налаштування";"Opcje";"Opções";"Seçenekler";"Možnosti";"Επιλογές";"Opsi";"ตัวเลือก";"설정";"游\t戏\t选\t项";"オプション";"設\t定";;
"mainmenu/btnMissions";"Missions";"Missions";"Missioni";"Missionen";"Misiones";"Миссии";"Місії";"Misje";"Missões";"Görevler";"Mise";"Αποστολές";"Misi";"ภารกิจ";"임무";"任\t务\t模\t式";"ミッション";"任\t務\t模\t式";;
"mainmenu/btnTutorial";"Tutorial";"Didacticiel";"Tutorial";"Ausbildungskurse";"Tutorial";"Курс обучения";"Курс навчання";"Samouczek";"Tutorial";"Eğitim";"Výcvik";"Σεμινάριο";"Tutorial";"บทสอนเล่น";"훈련 과정";"新\t手\t教\t程";"チュートリアル";"新\t手\t教\t學";;
"mainmenu/btnMedal";"Medals";"Médailles";"Medaglie";"Orden";"Medallas";"Награды";"Нагороди";"Odznaczenia";"Medalhas";"Madalyalar";"Vyznamenání";"Μετάλλια";"Medali";"เหรียญตรา";"훈장";"勋\t章";"メダル";"勳\t章";;
"mainmenu/noMedal";"There are no medals yet";"Il n'y a pas encore de médailles";"Non ci sono ancora medaglie";"Es gibt noch keine Medaillen";"Todavía no hay medallas";"Наград пока нет";"Нагород ще немає";"Nie ma jeszcze medali";"Ainda não há medalhas";"Henüz madalya yok";"Zatím tu nejsou žádné medaile";"Δεν υπάρχουν ακόμη μετάλλια";"Belum ada medali";"ยังไม่มีเหรียญตรา";"아직 메달을 가지고 있지 않습니다";"暂\t无\t勋\t章";"まだ\tメダルはありません";"暫\t無\t勳\t章";;
"mainmenu/btnChangePlayer";"Switch User";"Changer d'utilisateur";"Cambia account";"Benutzer wechseln";"Cambiar Usuario";"Сменить пользователя";"Змінити користувача";"Przełącz użytkownika";"Alterar conta";"Kullanıcı değiştir";"Přepnout uživatele";"Αλλαγή χρήστη";"Beralih Pengguna";"เปลี่ยนผู้ใช้";"계정 변경";"切\t换\t账\t号";"アカウントの\t変更";"切\t換\t使\t用\t者";;
"mainmenu/btnActivateCode";"Activate promo code";"Activer un code promo";"Attiva codice promozionale";"Promo-Code aktivieren";"Activar código de promoción";"Активировать промокод";"Активувати промокод";"Aktywuj kod promocyjny";"Ativar código promocional";"Promosyon kodunu etkinleştir";"Aktivovat promokód";"Ενεργοποίηση κωδικού προσφοράς";"Aktifkan Kode Promo";"ใช้งานรหัสโปรโมชั่น";"프로모션 코드 활성화";"激\t活\t优\t惠\t码";"プロモコードを\tアクティベート";"激\t活\t優\t惠\t碼";;
"mainmenu/tabPrivacy";"Privacy";"Confidentialité";"Privacy";"Privatsphäre";"Privacidad";"Приватность";"Конфіденційність";"Prywatność";"Privacidade";"Gizlilik";"Soukromí";"Απόρρητο";"Privasi";"ความเป็นส่วนตัว";"프라이버시";"隐\t私";"プライバシー";"隱\t私";;
"mainmenu/consentPrivacy";"Privacy Settings";"Paramètres de confidentialité";"Impostazioni della Privacy";"Privatsphären-Einstellungen";"Ajustes de Privacidad";"Конфиденциальность";"Налаштування конфіденційності";"Ustawienia prywatności";"Configurações de Privacidade";"Gizlilik Ayarları";"Nastavení soukromí";"Ρυθμίσεις απορρήτου";"Pengaturan Privasi";"การตั้งค่าความเป็นส่วนตัว";"프라이버시 설정";"隐\t私\t设\t置";"プライバシー\t設定";"隱\t私\t設\t定";;
"mainmenu/btnEditProfile";"Edit profile";"Editer le profil";"Modifica profilo";"Profil bearbeiten";"Editar perfil";"Редактировать профиль";"Редагувати профіль";"Edytuj profil";"Editar perfil";"Profili düzenle";"Editovat profil";"Επεξεργασία προφίλ";"Edit Profil";"แก้ไขโปรไฟล์";"프로필 편집";"编\t辑\t个\t人\t资\t料";"プロフィールを\t編集する";"編\t輯\t個\t人\t檔\t案";;
"mainmenu/btnSendGift";"Send gift";"Envoyer un cadeau";"Invia regalo";"Geschenk senden";"Enviar regalo";"Отправить подарок";"Надіслати подарунок";"Wyślij prezent";"Enviar presente";"Hediye gönder";"Poslat dárek";"Αποστολή δώρου";"Kirim Hadiah";"ส่งของขวัญ";"선물하기";"赠\t送\t礼\t物";"ギフトを\t送信";"傳\t送\t禮\t物";;
"mainmenu/titleLeaderboards";"Leaderboards";"Classements";"Classifiche";"Bestenlisten";"Marcadores ";"Таблицы рекордов";"Таблиці рекордів";"Rankingi";"Placares de líderes";"Liderlik Tabloları";"Žebříčky";"Πίνακες κατάταξης";"Papan Peringkat";"กระดานผู้นำ";"순위표";"排\t行\t榜\t单";"ランキング";"排\t行\t榜";;
