"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"decals/counters_16";"Red stars (5)";"Étoiles rouges (5)";"Stelle rosse (5)";"Rote Sterne (5)";"Estrellas rojas (5)";"Красные звёзды (5)";"Червоні зірки (5)";"Czerwone gwiazdy (5)";"Estrelas vermelhas (5)";"Kırmızı yıldızlar (5)";"5× sovětský symbol sestřelu (červený)";"Red stars (5)";"Bintang merah (5)";"Red stars (5)";"붉은 별 (5개)";"红\t五\t星\t（5）";"赤星 (5)";"紅\t五\t星\t（5）";;
"decals/counters_25";"Planes (5)";"Avions (5)";"Aerei (5)";"Flugzeuge (5)";"Aviones (5)";"Самолёты (5)";"Літаки (5)";"Samoloty (5)";"Aviões (5)";"Uçaklar (5)";"5× symbol sestřelu stíhačky";"Planes (5)";"Pesawat (5)";"Planes (5)";"비행기 (5개)";"飞\t机\t（5）";"飛行機 (5)";"飛\t機\t（5）";;
"decals/simple_02";"Red lightning";"Éclair rouge";"Saetta rossa";"Roter Blitz";"Relámpago rojo";"Красная молния";"Червона блискавка";"Czerwona błyskawica";"Raio vermelho";"Kırmızı yıldırım";"kresba Červený blesk";"Red lightning";"Petir merah";"Red lightning";"붉은 번개";"红\t色\t闪\t电";"赤稲妻";"紅\t色\t閃\t電";;
"decals/simple_33";"Fourteen";"Quatorze";"Quattordici";"Vierzehn";"Catorce";"Четырнадцать";"Чотирнадцять";"Czternaście";"Catorze";"On dört";"číslo ""14""";"Fourteen";"Empat belas";"Fourteen";14;"十\t四";14;"十\t四";;
"decals/back_02";"White star";"Étoile blanche";"Stella bianca";"Weißer Stern";"Estrella blanca";"Белая звезда";"Біла зірка";"Biała gwiazda";"Estrela branca";"Ak yıldız";"Bílá hvězda";"White star";"Bintang putih";"White star";"하얀 별";"白\t五\t星";"白星";"白\t五\t星";;
"decals/back_03";"Spades";"Pique";"Picche";"Pik";"Picas";"Пики";"Піки";"Pik";"Espadas";"Maça";"kresba Piky";"Spades";"Sekop";"Spades";"스페이드";"黑\t桃";"スペード";"黑\t桃";;
"decals/back_16";"Balkenkreuz";"Balkenkreuz";"Croce di Ferro";"Balkenkreuz";"Cruz de barras";"Балкенкройц";"Балкенкройц";"Krzyż belkowy";"Balkenkreuz";"Balkenkreuz";"kokarda Luftwaffe";"Balkenkreuz";"Balkenkreuz";"Balkenkreuz";"발켄크로이츠";"黑\t十\t字";"バルケンクロイツ";"黑\t十\t字";;
"decals/back_19";"Soviet Army roundel 1918-1943";"Cocarde de l'Armée rouge 1918-1943";"Coccarda Esercito Sovietico 1918-1943";"VVS Flugzeugkokarde 1918-1943";"Escarapela del ejército soviético 1918-1943";"Опознавательный знак Армии СССР 1918-1943";"Розпізнавальний знак ВПС СРСР 1918-1943";"Znak rozpoznawczy Wojskowych Sił Powietrznych (ZSRR), 1918-1943";"Cocar do Exército Soviético 1918-1943";"Sovyet Ordusu Madalyonu 1918-1943";"kokarda Vojenno-vozdušnych sil Raboče-krestjanskoj krasnoj armiji (1918 - 1943)";"Soviet Army roundel 1918-1943";"Roundel Tentara Soviet 1918-1943";"Soviet Army roundel 1918-1943";"소련 공군 식별 표지 (1918~1943)";"苏\t联\t空\t军\t机\t徽\t（1918 - 1943 年）";"ソビエト\t空軍\tラウンデル 1918-1943 ";"蘇\t聯\t空\t軍\t機\t徽\t（1918 - 1943 年）";;
"decals/back_20";"VVS roundel 1943-1991";"Cocarde VVS 1943-1991";"Coccarda VVS 1943-1991";"VVS Flugzeugkokarde 1943-1991";"Escarapela VVS 1943-1991";"Опознавательный знак ВВС СССР 1943-1991";"Розпізнавальний знак ВПС СРСР 1943-1991";"Znak rozpoznawczy Wojskowych Sił Powietrznych (ZSRR), 1943-1991";"Cocar da VVS 1943-1991";"VVS madalyonu 1943-1991";"kokarda Vojenno-vozdušnych sil Raboče-krestjanskoj krasnoj armiji (1943 - 1991)";"VVS roundel 1943-1991";"Roundel VVS 1943-1991";"VVS roundel 1943-1991";"소련 공군 식별 표지 (1943~1991)";"苏\t联\t空\t军\t机\t徽\t（1943 - 1991 年）";"ソビエト\t空軍\tラウンデル 1943-1991 ";"蘇\t聯\t空\t軍\t機\t徽\t（1943 - 1991 年）";;
"decals/text_10";"""For Stalin!"" text";"Texte: 'Pour Staline!'";"Testo ""Per Stalin!""";"""Für Stalin!"" Text";"Texto ""¡Por Stalin!""";"Надпись ""За Сталина!""";"Напис ""За Сталіна!""";"Napis „Za Stalina!”";"Texto ""Por Estaline!""";"""Stalin için!"" yazısı";"nápis „За Сталина!“";"""For Stalin!"" text";"Teks ""Untuk Stalin!""";"""For Stalin!"" text";"""스탈린을 위하여!"" 문구";"“为\t了\t斯\t大\t林！”\t标\t语";"スターリンのために!";"“為\t了\t史\t達\t林！”";;
"decals/text_10/desc";"""За Сталина!"" (""For Stalin!"") text";"Texte: 'За Сталина!' ('Pour Staline!')";"Testo ""За Сталина!"" (""Per Stalin!"")";"""За Сталина!"" ('Für Stalin!') Text ";"Texto ""За Сталина!"" (""¡Por Stalin!"")";"Надпись ""За Сталина!""";"Напис ""За Сталіна!""";"Napis „За Сталина!” („Za Stalina!”)";"Texto ""За Сталина!"" (""Por Estaline!"")";"""За Сталина!"" ""Stalin için!"" yazısı";"„Za Stalina!“";"""За Сталина!"" (""For Stalin!"") text";"Teks ""За Сталина!"" (""Untuk Stalin!"")";"""За Сталина!"" (""For Stalin!"") text";"""За Сталина!"" (""스탈린을 위하여!"") 문구";"“З\tа С\tт\tа\tл\tи\tн\tа!”\t（“为\t了\t斯\t大\t林！”，\t俄\t语）";"""За Сталина!"" (スターリンのために!)";"“З\tа С\tт\tа\tл\tи\tн\tа!”\t（“為\t了\t史\t達\t林！”，\t俄\t語）";;
"decals/back_27";"Decal of the French Air Force";"Décalcomanie de l'Armée de l'Air Française";"Decalcomania Aereonautica Francese";"Abzeichen der französischen Luftwaffe";"Calcomanía de la Fuerza Aérea Francesa";"Эмблема французских ВВС";"Емблема французьких ВПС";"Oznaczenie Francuskich Sił Powietrznych";"Decalque da Força Aérea Francesa";"Fransız Hava Kuvvetleri çıkartması";"kokarda Armée de l'air";"Decal of the French Air Force";"Decal Angkatan Udara Prancis";"Decal of the French Air Force";"프랑스 공군 식별표지";"法\t国\t空\t军\t徽\t标";"フランス\t空軍の\tデカール";"法\t國\t空\t軍\t徽\t標";;
"decals/back_27/desc";"Decal of the French Air Force";"Décalcomanie de l'Armée de l'Air Française";"Decalcomania Aereonautica Francese";"Abzeichen der französischen Luftwaffe";"Calcomanía de la Fuerza Aérea Francesa";"Эмблема французских ВВС";"Емблема французьких ВПС";"Oznaczenie Francuskich Sił Powietrznych";"Decalque da Força Aérea Francesa";"Fransız Hava Kuvvetleri çıkartması";"Francouzské letectvo";"Decal of the French Air Force";"Decal Angkatan Udara Prancis";"Decal of the French Air Force";"프랑스 공군 식별표지";"法\t国\t空\t军\t徽\t标";"フランス\t空軍の\tデカール";"法\t國\t空\t軍\t徽\t標";;
"decals/flag_austria";"Austria";"Autriche";"Austria";"Österreich";"Austria";"Австрия";"Австрія";"Austria";"Áustria";"Avusturya";"Rakousko";"Austria";"Austria";"Austria";"오스트리아";"奥\t地\t利";"オーストリア";"奧\t地\t利";;
"decals/flag_china";"China";"Chine";"Cina";"China";"China";"Китай";"Китай";"Chiny";"China";"Çin";"Čína";"China";"Tiongkok";"China";"중국";"中\t华\t人\t民\t共\t和\t国";"中国";"中\t華\t人\t民\t共\t和\t國";;
"decals/flag_france";"France";"France";"Francia";"Frankreich";"Francia";"Франция";"Франція";"Francja";"França";"Fransa";"Francie";"France";"Prancis";"France";"프랑스";"法\t国";"フランス";"法\t國";;
"decals/flag_great_britain";"United Kingdom of Great Britain and Northern Ireland";"Royaume-Uni de Grande-Bretagne et d'Irlande du Nord";"Regno Unito";"Vereinigtes Königreich von Großbritannien und Nordirland";"Reino Unido de Gran Bretaña e Irlanda del Norte";"Великобритания";"Сполучене Королівство Великобританії і Північної Ірландії";"Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej";"Reino Unido da Grã-Bretanha e Irlanda do Norte";"Büyük Britanya ve Kuzey İrlanda Birleşik Krallığı";"Spojené království Velké Británie a Severního Irska";"United Kingdom of Great Britain and Northern Ireland";"Perserikatan Kerajaan Britania Raya dan Irlandia Utara";"United Kingdom of Great Britain and Northern Ireland";"영국";"大\t不\t列\t颠\t及\t北\t爱\t尔\t兰\t联\t合\t王\t国";"イギリス";"大\t不\t列\t顛\t及\t北\t愛\t爾\t蘭\t聯\t合\t王\t國";;
"decals/flag_italy";"Italy";"Italie";"Italia";"Italien";"Italia";"Италия";"Італія";"Włochy";"Itália";"İtalya";"Itálie";"Italy";"Italia";"Italy";"이탈리아";"意\t大\t利";"イタリア";"義\t大\t利";;
"decals/flag_japan";"Japan";"Japon";"Giappone";"Japan";"Japón";"Япония";"Японія";"Japonia";"Japão";"Japonya";"Japonsko";"Japan";"Jepang";"Japan";"일본";"日\t本";"日本";"日\t本";;
"decals/flag_pakistan";"Pakistan";"Pakistan";"Pakistan";"Pakistan";"Pakistán";"Пакистан";"Пакистан";"Pakistan";"Paquistão";"Pakistan";"Pákistán";"Pakistan";"Pakistan";"Pakistan";"파키스탄";"巴\t基\t斯\t坦";"パキスタン";"巴\t基\t斯\t坦";;
"decals/flag_sweden";"Sweden";"Suède";"Svezia";"Schweden";"Suecia";"Швеция";"Швеція";"Szwecja";"Suécia";"İsveç";"Švédsko";"Sweden";"Swedia";"Sweden";"스웨덴";"瑞\t典";"スウェーデン";"瑞\t典";;
"decals/germany_numbers_0";"Zero";"Zéro";"Zero";"Null";"Cero";"Ноль";"Нуль";"Zero";"Zero";"Sıfır";"číslice ""0"" bílá německá";"Zero";"Nol";"Zero";0;0;0;0;;
"decals/germany_numbers_1";"One";"Un";"Uno";"Eins";"Uno";"Один";"Один";"Jedynka";"Um";"Bir";"číslice ""1"" bílá německá";"One";"Satu";"One";1;1;1;1;;
"decals/germany_numbers_2";"Two";"Deux";"Due";"Zwei";"Dos";"Два";"Два";"Dwójka";"Dois";"İki";"číslice ""2"" bílá německá";"Two";"Dua";"Two";2;2;2;2;;
"decals/germany_numbers_3";"Three";"Trois";"Tre";"Drei";"Tres";"Три";"Три";"Trójka";"Três";"Üç";"číslice ""3"" bílá německá";"Three";"Tiga";"Three";3;3;3;3;;
"decals/germany_numbers_4";"Four";"Quatre";"Quattro";"Vier";"Cuatro";"Четыре";"Чотири ";"Czwórka";"Quatro";"Dört";"číslice ""4"" bílá německá";"Four";"Empat";"Four";4;4;4;4;;
"decals/germany_numbers_5";"Five";"Cinq";"Cinque";"Fünf";"Cinco";"Пять";"П’ять";"Piątka";"Cinco";"Beş";"číslice ""5"" bílá německá";"Five";"Lima";"Five";5;5;5;5;;
"decals/germany_numbers_6";"Six";"Six";"Sei";"Sechs";"Seis";"Шесть";"Шість";"Szóstka";"Seis";"Altı";"číslice ""6"" bílá německá";"Six";"Enam";"Six";6;6;6;6;;
"decals/germany_numbers_7";"Seven";"Sept";"Sette";"Sieben";"Siete";"Семь";"Сім";"Siódemka";"Sete";"Yedi";"číslice ""7"" bílá německá";"Seven";"Tujuh";"Seven";7;7;7;7;;
"decals/germany_numbers_8";"Eight";"Huit";"Otto";"Acht";"Ocho";"Восемь";"Вісім";"Ósemka";"Oito";"Sekiz";"číslice ""8"" bílá německá";"Eight";"Delapan";"Eight";8;8;8;8;;
"decals/germany_numbers_9";"Nine";"Neuf";"Nove";"Neun";"Nueve";"Девять";"Дев’ять";"Dziewiątka";"Nove";"Dokuz";"číslice ""9"" bílá německá";"Nine";"Sembilan";"Nine";9;9;9;9;;
"decals/japan_numbers_0";"Zero";"Zéro";"Zero";"Null";"Cero";"Ноль";"Нуль";"Zero";"Zero";"Sıfır";"číslice ""0"" bílá japonská";"Zero";"Nol";"Zero";0;0;0;0;;
"decals/uk_numbers_0";"Zero";"Zéro";"Zero";"Null";"Cero";"Ноль";"Нуль ";"Zero";"Zero";"Sıfır";"číslice ""0"" bílá britská";"Zero";"Nol";"Zero";0;0;0;0;;
"decals/uk_numbers_1";"One";"Un";"Uno";"Eins";"Uno";"Один";"Один";"Jedynka";"Um";"Bir";"číslice ""1"" bílá britská";"One";"Satu";"One";1;1;1;1;;
"decals/uk_numbers_2";"Two";"Deux";"Due";"Zwei";"Dos";"Два";"Два";"Dwójka";"Dois";"İki";"číslice ""2"" bílá britská";"Two";"Dua";"Two";2;2;2;2;;
"decals/uk_numbers_3";"Three";"Trois";"Tre";"Drei";"Tres";"Три";"Три";"Trójka";"Três";"Üç";"číslice ""3"" bílá britská";"Three";"Tiga";"Three";3;3;3;3;;
"decals/uk_numbers_4";"Four";"Quatre";"Quattro";"Vier";"Cuatro";"Четыре";"Чотири";"Czwórka";"Quatro";"Dört";"číslice ""4"" bílá britská";"Four";"Empat";"Four";4;4;4;4;;
"decals/uk_numbers_5";"Five";"Cinq";"Cinque";"Fünf";"Cinco";"Пять";"П’ять";"Piątka";"Cinco";"Beş";"číslice ""5"" bílá britská";"Five";"Lima";"Five";5;5;5;5;;
"decals/uk_numbers_6";"Six";"Six";"Sei";"Sechs";"Seis";"Шесть";"Шість";"Szóstka";"Seis";"Altı";"číslice ""6"" bílá britská";"Six";"Enam";"Six";6;6;6;6;;
"decals/uk_numbers_7";"Seven";"Sept";"Sette";"Sieben";"Siete";"Семь";"Сім";"Siódemka";"Sete";"Yedi";"číslice ""7"" bílá britská";"Seven";"Tujuh";"Seven";7;7;7;7;;
"decals/uk_numbers_8";"Eight";"Huit";"Otto";"Acht";"Ocho";"Восемь";"Вісім";"Ósemka";"Oito";"Sekiz";"číslice ""8"" bílá britská";"Eight";"Delapan";"Eight";8;8;8;8;;
"decals/uk_numbers_9";"Nine";"Neuf";"Nove";"Neun";"Nueve";"Девять";"Дев’ять";"Dziewiątka";"Nove";"Dokuz";"číslice ""9"" bílá britská";"Nine";"Sembilan";"Nine";9;9;9;9;;
"decals/usa_numbers_0";"Zero";"Zéro";"Zero";"Null";"Cero";"Ноль";"Нуль";"Zero";"Zero";"Sıfır";"číslice ""0"" bílá americká";"Zero";"Nol";"Zero";0;0;0;0;;
"decals/usa_numbers_1";"One";"Un";"Uno";"Eins";"Uno";"Один";"Один";"Jedynka";"Um";"Bir";"číslice ""1"" bílá americká";"One";"Satu";"One";1;1;1;1;;
"decals/usa_numbers_2";"Two";"Deux";"Due";"Zwei";"Dos";"Два";"Два";"Dwójka";"Dois";"İki";"číslice ""2"" bílá americká";"Two";"Dua";"Two";2;2;2;2;;
"decals/usa_numbers_3";"Three";"Trois";"Tre";"Drei";"Tres";"Три";"Три";"Trójka";"Três";"Üç";"číslice ""3"" bílá americká";"Three";"Tiga";"Three";3;3;3;3;;
"decals/usa_numbers_5";"Five";"Cinq";"Cinque";"Fünf";"Cinco";"Пять";"П’ять";"Piątka";"Cinco";"Beş";"číslice ""5"" bílá americká";"Five";"Lima";"Five";5;5;5;5;;
"decals/ussr_numbers_0";"Zero";"Zéro";"Zero";"Null";"Cero";"Ноль";"Нуль";"Zero";"Zero";"Sıfır";"číslice ""0"" bílá sovětská";"Zero";"Nol";"Zero";0;0;0;0;;
"decals/ussr_numbers_1";"One";"Un";"Uno";"Eins";"Uno";"Один";"Один";"Jedynka";"Um";"Bir";"číslice ""1"" bílá sovětská";"One";"Satu";"One";1;1;1;1;;
"decals/ussr_numbers_2";"Two";"Deux";"Due";"Zwei";"Dos";"Два";"Два";"Dwójka";"Dois";"İki";"číslice ""2"" bílá sovětská";"Two";"Dua";"Two";2;2;2;2;;
"decals/ussr_numbers_3";"Three";"Trois";"Tre";"Drei";"Tres";"Три";"Три";"Trójka";"Três";"Üç";"číslice ""3"" bílá sovětská";"Three";"Tiga";"Three";3;3;3;3;;
"decals/ussr_numbers_4";"Four";"Quatre";"Quattro";"Vier";"Cuatro";"Четыре";"Чотири";"Czwórka";"Quatro";"Dört";"číslice ""4"" bílá sovětská";"Four";"Empat";"Four";4;4;4;4;;
"decals/ussr_numbers_5";"Five";"Cinq";"Cinque";"Fünf";"Cinco";"Пять";"П’ять";"Piątka";"Cinco";"Beş";"číslice ""5"" bílá sovětská";"Five";"Lima";"Five";5;5;5;5;;
"decals/ussr_numbers_6";"Six";"Six";"Sei";"Sechs";"Seis";"Шесть";"Шість";"Szóstka";"Seis";"Altı";"číslice ""6"" bílá sovětská";"Six";"Enam";"Six";6;6;6;6;;
"decals/ussr_numbers_7";"Seven";"Sept";"Sette";"Sieben";"Siete";"Семь";"Сім";"Siódemka";"Sete";"Yedi";"číslice ""7"" bílá sovětská";"Seven";"Tujuh";"Seven";7;7;7;7;;
"decals/ussr_numbers_8";"Eight";"Huit";"Otto";"Acht";"Ocho";"Восемь";"Вісім";"Ósemka";"Oito";"Sekiz";"číslice ""8"" bílá sovětská";"Eight";"Delapan";"Eight";8;8;8;8;;
"decals/ussr_numbers_9";"Nine";"Neuf";"Nove";"Neun";"Nueve";"Девять";"Дев’ять";"Dziewiątka";"Nove";"Dokuz";"číslice ""9"" bílá sovětská";"Nine";"Sembilan";"Nine";9;9;9;9;;
"decals/germany_numbers_red_0";"Zero";"Zéro";"Zero";"Null";"Cero";"Ноль";"Нуль";"Zero";"Zero";"Sıfır";"číslice ""0"" červená německá";"Zero";"Nol";"Zero";"영";0;"ゼロ";0;;
"decals/germany_numbers_red_1";"One";"Un";"Uno";"Eins";"Uno";"Один";"Один";"Jedynka";"Um";"Bir";"číslice ""1"" červená německá";"One";"Satu";"One";"일";1;1;1;;
"decals/germany_numbers_red_2";"Two";"Deux";"Due";"Zwei";"Dos";"Два";"Два";"Dwójka";"Dois";"İki";"číslice ""2"" červená německá";"Two";"Dua";"Two";"이";2;2;2;;
"decals/germany_numbers_red_3";"Three";"Trois";"Tre";"Drei";"Tres";"Три";"Три";"Trójka";"Três";"Üç";"číslice ""3"" červená německá";"Three";"Tiga";"Three";"삼";3;3;3;;
"decals/germany_numbers_red_4";"Four";"Quatre";"Quattro";"Vier";"Cuatro";"Четыре";"Чотири";"Czwórka";"Quatro";"Dört";"číslice ""4"" červená německá";"Four";"Empat";"Four";"사";4;4;4;;
"decals/germany_numbers_red_5";"Five";"Cinq";"Cinque";"Fünf";"Cinco";"Пять";"П'ять";"Piątka";"Cinco";"Beş";"číslice ""5"" červená německá";"Five";"Lima";"Five";"오";5;5;5;;
"decals/germany_numbers_red_6";"Six";"Six";"Sei";"Sechs";"Seis";"Шесть";"Шість";"Szóstka";"Seis";"Altı";"číslice ""6"" červená německá";"Six";"Enam";"Six";"육";6;6;6;;
"decals/germany_numbers_red_7";"Seven";"Sept";"Sette";"Sieben";"Siete";"Семь";"Сім";"Siódemka";"Sete";"Yedi";"číslice ""7"" červená německá";"Seven";"Tujuh";"Seven";"칠";7;7;7;;
"decals/germany_numbers_red_9";"Nine";"Neuf";"Nove";"Neun";"Nueve";"Девять";"Дев'ять";"Dziewiątka";"Nove";"Dokuz";"číslice ""9"" červená německá";"Nine";"Sembilan";"Nine";"구";9;9;9;;
"decals/japan_numbers_red_3";"Three";"Trois";"Tre";"Drei";"Tres";"Три";"Три";"Trójka";"Três";"Üç";"číslice ""3"" červená japonská";"Three";"Tiga";"Three";"삼";3;3;3;;
"decals/japan_numbers_red_4";"Four";"Quatre";"Quattro";"Vier";"Cuatro";"Четыре";"Чотири";"Czwórka";"Quatro";"Dört";"číslice ""4"" červená japonská";"Four";"Empat";"Four";"사";4;4;4;;
"decals/japan_numbers_red_5";"Five";"Cinq";"Cinque";"Fünf";"Cinco";"Пять";"П'ять";"Piątka";"Cinco";"Beş";"číslice ""5"" červená japonská";"Five";"Lima";"Five";"오";5;5;5;;
"decals/japan_numbers_red_6";"Six";"Six";"Sei";"Sechs";"Seis";"Шесть";"Шість";"Szóstka";"Seis";"Altı";"číslice ""6"" červená japonská";"Six";"Enam";"Six";"육";6;6;6;;
"decals/japan_numbers_red_8";"Eight";"Huit";"Otto";"Acht";"Ocho";"Восемь";"Вісім";"Ósemka";"Oito";"Sekiz";"číslice ""8"" červená japonská";"Eight";"Delapan";"Eight";8;8;8;8;;
"decals/uk_numbers_red_0";"Zero";"Zéro";"Zero";"Null";"Cero";"Ноль";"Нуль";"Zero";"Zero";"Sıfır";"číslice ""0"" červená britská";"Zero";"Nol";"Zero";"영";0;"ゼロ";0;;
"decals/uk_numbers_red_2";"Two";"Deux";"Due";"Zwei";"Dos";"Два";"Два";"Dwójka";"Dois";"İki";"číslice ""2"" červená britská";"Two";"Dua";"Two";"이";2;2;2;;
"decals/uk_numbers_red_3";"Three";"Trois";"Tre";"Drei";"Tres";"Три";"Три";"Trójka";"Três";"Üç";"číslice ""3"" červená britská";"Three";"Tiga";"Three";"삼";3;3;3;;
"decals/uk_numbers_red_4";"Four";"Quatre";"Quattro";"Vier";"Cuatro";"Четыре";"Чотири";"Czwórka";"Quatro";"Dört";"číslice ""4"" červená britská";"Four";"Empat";"Four";"사";4;4;4;;
"decals/uk_numbers_red_5";"Five";"Cinq";"Cinque";"Fünf";"Cinco";"Пять";"П'ять";"Piątka";"Cinco";"Beş";"číslice ""5"" červená britská";"Five";"Lima";"Five";5;5;5;5;;
"decals/uk_numbers_red_7";"Seven";"Sept";"Sette";"Sieben";"Siete";"Семь";"Сім";"Siódemka";"Sete";"Yedi";"číslice ""7"" červená britská";"Seven";"Tujuh";"Seven";7;7;7;7;;
"decals/uk_numbers_red_8";"Eight";"Huit";"Otto";"Acht";"Ocho";"Восемь";"Вісім";"Ósemka";"Oito";"Sekiz";"číslice ""8"" červená britská";"Eight";"Delapan";"Eight";8;8;8;8;;
