"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"type/aaa";"AAA";"Antiaérien";"AA";"Flugabwehr";"AAA";"ПВО";"ППО";"Artyleria przeciwlotnicza";"AAA";"Uçaksavar";"PVO";"AAA";"AAA";"AAA";"대공포";"防\t空\t炮";"対空砲";"高\t射\t砲";;
"type/dummy";"Base building";"Bâtiment";"Edificio";"Basisgebäude";"Edificio de la base";"Здание базы";"Будівля бази";"Budynek bazy";"Edifício da base";"Üs Binası";"Budova základny";"Κτίριο βάσης";"Bangunan pangkalan";"อาคารฐาน";"기지 건물";"基\t地\t建\t筑";"基地建物";"基\t地\t建\t造";;
"type/searchLight";"Search light";"Projecteur";"Faro";"Suchscheinwerfer";"Reflector";"Прожектор";"Прожектор";"Reflektor";"Holofote";"Projektör";"Pátrací reflektor";"Φως αναζήτησης";"Lampu sorot";"ไฟค้นหา";"탐조등";"探\t照\t灯";"サーチライト";"探\t照\t燈";;
"type/fortification";"Search light";"Projecteur";"Faro";"Suchscheinwerfer";"Reflector";"Укрепление";"Прожектор";"Reflektor";"Holofote";"Projektör";"Pátrací reflektor";"Φως αναζήτησης";"Lampu sorot";"ไฟค้นหา";"탐조등";"探\t照\t灯";"サーチライト";"探\t照\t燈";;
"type/artillery";"Artillery";"Artillerie";"Artiglieria";"Artillerie";"Artillería";"Артиллерия";"Артилерія";"Artyleria";"Artilharia";"Topçu";"Dělostřelectvo";"Πυροβολικό";"Artileri";"ปืนใหญ่";"야포";"火\t炮";"砲兵隊";"火\t砲";;
"type/airfield";"Airfield";"Aérodrome";"Aereoporto";"Flugplatz";"Aeródromo";"Аэродром";"Аеродром";"Lotnisko";"Aeródromo";"Havaalanı";"Letiště";"Αεροδρόμιο";"Lapangan Terbang";"ลานบิน";"비행장";"机\t场";"飛行場";"機\t場";;
"type/wheeled_vehicles";"Truck";"Camion";"Camion";"LKW";"Camión";"Автомобиль";"Вантажівка";"Ciężarówka";"Caminhão";"Kamyon";"Náklaďák";"Φορτηγό";"Truk";"รถบรรทุก";"트럭";"卡\t车";"トラック";"卡\t車";;
"type/destroyer";"Destroyer";"Destroyer";"Cacciatorpediniere";"Zerstörer";"Destructor";"Эсминец";"Есмінець";"Niszczyciel";"Contratorpedeiro";"Muhrip";"Torpédoborec";"Αντιτορπιλικό";"Kapal Perusak";"เรือพิฆาต";"구축함";"驱\t逐\t舰";"駆逐艦";"驅\t逐\t艦";;
"type/lightCruiser";"Light Cruiser";"Croiseur léger";"Incrociatore Leggero";"Leichter Kreuzer";"Crucero Ligero";"Лёгкий крейсер";"Легкий крейсер";"Lekki Krążownik";"Cruzador Leve";"Hafif Kruvazör";"Lehký křižník";"Ελαφρύ καταδρομικό";"Kapal Penjelajah Ringan";"เรือลาดตระเวนเบา";"경순양함";"轻\t巡\t洋\t舰";"軽巡洋艦";"輕\t型\t巡\t洋\t艦";;
"type/heavyCruiser";"Heavy Cruiser";"Croiseur lourd";"Incrociatore Pesante";"Schwerer Kreuzer";"Crucero Pesado";"Тяжёлый крейсер";"Важкий крейсер";"Ciężki Krążownik";"Cruzador Pesado";"Ağır Kruvazör";"Těžký křižník";"Βαρύ καταδρομικό";"Kapal Penjelajah Berat";"เรือลาดตระเวนหนัก";"중순양함";"重\t巡\t洋\t舰";"重巡洋艦";"重\t型\t巡\t洋\t艦";;
"type/battleCruiser";"Battlecruiser";"Croiseur de bataille";"Incrociatore da Battaglia";"Schlachtkreuzer";"Crucero de Batalla";"Линейный крейсер";"Лінійний крейсер";"Krążownik Liniowy";"Cruzador de batalha";"Muharebe Kruvazörü";"Bitevní křižník";"Καταδρομικό μάχης";"Kapal Penjelajah Tempur";"เรือลาดตระเวนประจัญบาน";"순양전함";"战\t列\t巡\t洋\t舰";"巡洋戦艦";"戰\t鬥\t巡\t洋\t艦";;
"type/battleship";"Battleship";"Cuirassé";"Corazzata";"Schlachtschiff";"Acorazado";"Линкор";"Лінкор";"Pancernik";"Couraçado";"Zırhlı";"Bitevní loď";"Θωρηκτό";"Kapal Tempur";"เรือประจัญบาน";"전함";"战\t列\t舰";"戦艦";"戰\t艦";;
