"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"squad/has_non_accept_invites";"You squad has non-accepted invites";"Votre escouade a des invitations non acceptées";"Il tuo plotone ha degli inviti sospesi";"Die Staffel verfügt über nicht akzeptierte Einladungen";"Tu escuadrón tiene invitaciones sin aceptar";"В отряде есть непринятые приглашения";"У загоні є неприйняті запрошення";"Twój oddział nie zaakceptował wszystkich zaproszeń";"Seu esquadrão tem convites não aceites";"Takımının kabul edilmemiş davetiyeleri var";"Tvá skupina má nepřijaté pozvánky";"Η ομάδα σας έχει προσκλήσεις που δεν έχουν γίνει αποδεκτές";"Skuadmu punya undangan yang tidak diterima";"หมู่ของคุณมีคำเชิญที่ยังไม่ได้รับ";"편대에 수락받지 않은 초대가 있습니다.";"小\t队\t还\t有\t尚\t未\t确\t认\t的\t邀\t请";"部隊に\t未承認の\t招待があります。";"小\t隊\t中\t還\t有\t尚\t未\t回\t覆\t確\t認\t的\t邀\t請";;
"squad/not_all_ready";"Not all squad members are ready.";"Tous les membres de l'escouade ne sont pas prêts.";"Non tutti i membri del plotone sono pronti.";"Es sind noch nicht alle Staffelmitglieder bereit.";"No están listos todos los miembros del escuadrón.";"Не все члены отряда готовы.";"Не всі члени загону готові.";"Nie wszyscy członkowie oddziału są gotowi.";"Nem todos os membros da esquadrilha estão prontos.";"Bütün takım üyeleri hazır değil.";"Všichni členové skupiny nejsou připraveni";"Δεν είναι όλα τα μέλη της ομάδας έτοιμα.";"Tidak semua anggota skuad siap.";"สมาชิกหมู่ยังพร้อมไม่ครบทุกคน";"아직 준비되지 않은 편대원이 있습니다.";"部\t分\t小\t队\t成\t员\t尚\t未\t准\t备\t就\t绪";"全ての\t分隊の\tメンバーが\t準備完了というわけではありません。";"還\t有\t小\t隊\t成\t員\t尚\t未\t準\t備\t就\t緒";;
"squad/not_all_has_packs";"Some squad members don't have the right add-ons downloaded for battle.";"Certains membres de l'escouade n'ont pas les bons addons téléchargés pour la bataille.";"Alcuni membri del plotone non hanno scaricato gli add-on corretti per la battaglia.";"Einige Staffelmitglieder haben nicht die richtigen Add-Ons für die Schlacht heruntergeladen.";"Algunos miembros del escuadrón no tienen descargados los complementos adecuados para la batalla.";"У некоторых членов отряда не скачаны нужные дополнения для боя.";"Деякі члени ланки не завантажили необхідних доповнень для участі в бою.";"Niektórzy członkowie oddziału nie mają pobranych odpowiednich dodatków do bitwy.";"Alguns membros do pelotão não transferiram os suplementos necessários para a batalha.";"Bazı ekip üyeleri, saavşa başlamak için gerekli eklentilere sahip değil.";"Někteří členové skupiny nemají stažené správné addony pro bitvu.";"Ορισμένα μέλη της ομάδας δεν έχουν κατεβάσει τα σωστά πρόσθετα για τη μάχη.";"Beberapa anggota skuad belum mengunduh fitur tambahan yang tepat untuk pertempuran.";"สมาชิกหมู่บางคนยังไม่ได้ดาวน์โหลดส่วนเสริมที่จำเป็นสำหรับการต่อสู้นี้";"편대원 중 일부가 전투에 필요한 애드온을 가지고 있지 않습니다.";"小\t队\t成\t员\t尚\t未\t加\t载\t战\t斗\t所\t需\t游\t戏\t文\t件。";"一部の\t分隊\tメンバーは、\tバトルに\t必要な\tアドオンが\tダウンロードされていません。";"小\t隊\t成\t員\t尚\t未\t加\t載\t戰\t鬥\t所\t需\t遊\t戲\t文\t件。";;
"squad/has_offline_members";"Not all squad members are in game";"Tous les membres de l’escouade ne sont pas en jeu";"Non tutti i membri del plotone sono collegati";"Nicht alle Staffelmitglieder sind mit dem Spiel verbunden.";"No todos los miembros del escuadrón están en el juego";"Не все члены отряда находятся в игре";"Не всі члени загону знаходяться в грі";"Nie wszyscy członkowie oddziału są obecni w grze";"Nem todos os membros da esquadrão estão no jogo";"Takım üyelerinin hepsi oyunda değil";"Všichni členové skupiny nejsou ve hře";"Δεν είναι όλα τα μέλη της ομάδας μέσα στο παιχνίδι";"Tidak semua anggota skuad sedang online";"สมาชิกหมู่ยังอยู่ในเกมไม่ครบทุกคน";"게임을 실행하지 않은 편대원이 있습니다.";"部\t分\t小\t队\t成\t员\t未\t登\t入\t游\t戏";"まだ\t全ての\t分隊員が\t準備を\t完了していません";"還\t有\t小\t隊\t成\t員\t尚\t未\t登\t入\t遊\t戲";;
"squad/leave_squad_for_invite";"You need to leave the squad to accept the invitation.";"Vous devez quitter l’éscouade pour accepter l’invitation.";"Devi abbandonare il plotone per accettare l'invito.";"Du musst die Staffel verlassen, um diese Einladung anzunehmen.";"Necesitas abandonar el escuadrón para aceptar la invitación.";"Вам необходимо покинуть отряд для принятия приглашения.";"Вам потрібно залишити загін, щоб прийняти запрошення.";"Musisz opuścić oddział, by przyjąć zaproszenie.";"Você precisa deixar o esquadrão para aceitar o convite.";"Daveti kabul etmek için takımdan çıkmanız gerekiyor.";"Pro přijetí pozvánky musíš opustit skupinu";"Πρέπει να φύγετε από την ομάδα για να αποδεχτείτε την πρόσκληση.";"Kamu harus keluar dari skuad untuk menerima undangan ini.";"คุณต้องออกจากหมู่เพื่อตอบรับคำเชิญ";"초대를 받기 위해서는 편대를 떠나야 합니다";"退\t出\t当\t前\t小\t队\t后\t才\t能\t接\t受\t此\t邀\t请。";"招待を\t受けるには\t分隊を\t出る\t必要があります。";"退\t出\t當\t前\t小\t隊\t後\t才\t能\t接\t受\t此\t邀\t請。";;
"squad/readyCheckBtn";"Readiness check";"Vérification de l'état de préparation";"Controllo stato prontezza";"Bereitschaftsprüfung";"Comprobación de preparación";"Проверка готовности";"Перевірка готовності";"Sprawdzenie gotowości";"Verificação de prontidão";"Hazır olma kontrolü";"Kontrola připravenosti";"Έλεγχος ετοιμότητας";"Pemeriksaan Kesiapan";"ตรวจสอบความพร้อม";"준비 상태 체크";"检\t查\t队\t员\t准\t备\t状\t态";"準備状態の\t確認";"檢\t查\t隊\t員\t準\t備\t狀\t態";;
"squad/readyCheckInCooldownMsg";"You were just checking the squad's readiness.
Try again later.";"Vous vérifiiez juste l'état de préparation de l'équipe.
Réessayez plus tard.";"Hai solo provato la protezza del plotone.
Riprova più tardi.";"Du hast gerade die Einsatzbereitschaft der Staffel überprüft.
Versuche es später noch einmal.";"Estabas comprobando la preparación del escuadrón.
Vuelve a intentarlo más tarde.";"Вы только что проверяли готовность отряда.
Попробуйте позднее.";"Ви щойно перевіряли готовність ланки.
Спробуйте ще раз пізніше.";"Właśnie sprawdzałeś gotowość oddziału.
Spróbuj ponownie później.";"Estávam a verificar o estado de prontidão do seu pelotão.
Por favor tente novamente mais tarde.";"Takımın hazır olma durumunu kontrol ediyoruz.
Lütfen daha sonra tekrar deneyin.";"Právě jsi zkontroloval připravenost skupiny.
Zkus to později.";"Μόλις ελέγξατε την ετοιμότητα της ομάδας.
Προσπαθήστε ξανά αργότερα.";"Kamu baru saja memeriksa kesiapan skuad.
Coba lagi nanti.";"คุณเพิ่งทำการตรวจสอบความพร้อมของสมาชิกหมู่ไป
กรุณาลองใหม่ในภายหลัง";"편대원의 준비 상태를 체크하고 있습니다.
나중에 다시 시도하세요.";"刚\t刚\t已\t检\t查\t了\t队\t员\t准\t备\t状\t态。
请\t稍\t后\t再\t进\t行\t查\t验。";"分隊の\t準備状態を\t確認したばかりです。\t
後でもう\t一度お\t試しください。";"剛\t剛\t已\t檢\t查\t了\t隊\t員\t準\t備\t狀\t態。
請\t稍\t後\t再\t進\t行\t查\t驗。";;
"squad/readyCheckMsg";"The squad leader requested a readiness check.
Are you ready to fight now?";"Le chef d'escouade a demandé une vérification de l'état de préparation.
Êtes-vous prêt à vous battre maintenant?";"Il capo plotone ha richiesto un controllo di prontezza.
Sei pronto a combattere ora?";"Der Staffelführer hat eine Bereitschaftsprüfung angefordert.
Bist Du bereit, jetzt zu kämpfen?";"El líder del escuadrón ha solicitado una comprobación de preparación.
¿Estás preparado para luchar ahora?";"Лидер отряда запросил проверку готовности.
Вы готовы к бою сейчас?";"Лідер ланки перевіряє готовність.
Ви готові до бою?";"Dowódca oddziału poprosił o sprawdzenie gotowości.
Czy jesteś gotowy do bitwy?";"O líder do esquadrão pediu uma verificação de prontidão.
Está pronto para combater agora?";"Takım lideri hazır olup olmadığınızı soruyor.
Savaşmaya hazır mısınız?";"Velitel skupiny si vyžádal kontrolu připravenosti.
Jsi připraven k boji?";"Ο αρχηγός της ομάδας ζήτησε έλεγχο ετοιμότητας.
Είστε έτοιμος να πολεμήσετε τώρα;";"Pemimpin skuad meminta pemeriksaan kesiapan.
Sudah siap bertarung?";"หัวหน้าหมู่ขอตรวจสอบความพร้อม
คุณพร้อมจะต่อสู้หรือยัง?";"편대장이 준비 상태를 확인하고 있습니다.
전투 준비를 완료하셨습니까?";"队\t长\t要\t求\t查\t验\t队\t员\t准\t备\t状\t态。
是\t否\t已\t经\t准\t备\t好\t参\t加\t战\t斗？";"分隊長が\t準備状態確認を\tリクエストしました。\t
戦う\t準備はできていますか？";"隊\t長\t要\t求\t查\t驗\t隊\t員\t準\t備\t狀\t態。
是\t否\t已\t經\t準\t備\t好\t參\t加\t戰\t鬥？";;
"squad/readyCheckWait";"Pending a readiness check";"En attente d'un contrôle de préparation";"Controllo prontezza in attesa";"Bereitschaftsprüfung ausstehend";"Pendiente de una comprobación de preparación";"В ожидании проверки готовности";"Очікується перевірка готовності";"Oczekiwanie na sprawdzenie gotowości";"Verificação de prontidão pendente";"Hazır olma kontrolü bekleniyor";"Čeká se na kontrolu připravenosti";"Εκκρεμεί έλεγχος ετοιμότητας";"Menunggu pemeriksaan kesiapan";"รอการตรวจสอบความพร้อม";"준비 상태 체크 중";"准\t备\t状\t态\t待\t响\t应";"準備状態の\t確認中";"準\t備\t狀\t態\t待\t響\t應";;
"squad/rankCheck";"Rank check";"Contrôle du rang";"Controllo Rango";"Überprüfung des Ranges";"Comprobación de rango";"Проверка рангов";"Перевірка рангу";"Sprawdzanie rangi";"Verificação de classificação";"Seviye kontrolü";"Kontrola Úrovně";"Έλεγχος βαθμού";"Pemeriksaan rank";"ตรวจสอบระดับ";"랭크 확인";"检\t查\t队\t伍\t等\t级";"ランクの\t確認";"檢\t查\t隊\t伍\t階\t級";;
